scope,state,code,category,title,inscription_year,description,source_name,source_url
state,Gujarat,GJ,Dance,Garba of Gujarat,2023,Traditional Garba cultural practice of Gujarat inscribed on UNESCO's Representative List of the Intangible Cultural Heritage of Humanity.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,West Bengal,WB,Festival,Durga Puja in Kolkata,2021,Annual festival tradition associated particularly with Kolkata and West Bengal.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
national,,IN,Festival,Kumbh Mela,2017,Major Indian cultural and religious congregation inscribed on UNESCO's Representative List.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
national,,IN,Tradition,Yoga,2016,Indian tradition of yoga inscribed on UNESCO's Representative List.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,Punjab,PB,Craft,Traditional brass and copper craft of utensil making among the Thatheras of Jandiala Guru,2014,Traditional brass and copper utensil-making craft practiced by the Thatheras of Jandiala Guru in Punjab.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,Manipur,MN,Music and Dance,Sankirtana,2013,"Ritual singing, drumming and dancing tradition of Manipur.",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,Ladakh,LA,Music and Chanting,Buddhist chanting of Ladakh,2012,Sacred Buddhist chanting tradition practiced in the Ladakh region.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,,IN,Dance,Chhau dance,2010,Traditional Chhau dance tradition associated with eastern India.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,Rajasthan,RJ,Music and Dance,Kalbelia folk songs and dances of Rajasthan,2010,Traditional folk songs and dances associated with the Kalbelia community of Rajasthan.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,Kerala,KL,Dance and Theatre,Mudiyettu,2010,Ritual theatre and dance drama tradition of Kerala.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,Uttarakhand,UK,Festival and Theatre,Ramman,2009,Religious festival and ritual theatre tradition of the Garhwal Himalayas.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
state,Kerala,KL,Theatre,Kutiyattam,2008,Traditional Sanskrit theatre tradition of Kerala.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
national,,IN,Tradition,Tradition of Vedic chanting,2008,Traditional practice of transmitting Vedic chanting.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
national,,IN,Theatre,Ramlila,2008,Traditional performance of the Ramayana.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
national,,IN,Festival,Deepavali,2025,Indian festival tradition inscribed on UNESCO's Representative List in 2025.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
multinational,,IN,Festival,Nawrouz,2024,Multinational cultural celebration in which India is one of the participating countries.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
