state,code,category,title,description,source_name,source_url
Gujarat,GJ,Dance,Garba of Gujarat,Traditional Garba cultural practice of Gujarat inscribed on UNESCO's Representative List of the Intangible Cultural Heritage of Humanity in 2023.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
West Bengal,WB,Festival,Durga Puja in Kolkata,"Annual festival tradition associated particularly with Kolkata and West Bengal, inscribed on UNESCO's Representative List in 2021.",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
India,IN,Festival,Kumbh Mela,Major Indian cultural and religious congregation inscribed on UNESCO's Representative List of the Intangible Cultural Heritage of Humanity in 2017.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
India,IN,Tradition,Yoga,Indian tradition of yoga inscribed on UNESCO's Representative List of the Intangible Cultural Heritage of Humanity in 2016.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
Punjab,PB,Craft,Traditional brass and copper craft of utensil making among the Thatheras of Jandiala Guru,Traditional brass and copper utensil-making craft practiced by the Thatheras of Jandiala Guru in Punjab.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
Manipur,MN,Music and Dance,Sankirtana,"Ritual singing, drumming and dancing tradition of Manipur inscribed by UNESCO in 2013.",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
Ladakh,LA,Music and Chanting,Buddhist chanting of Ladakh,Recitation of sacred Buddhist texts in the trans-Himalayan Ladakh region.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
India,IN,Dance,Chhau dance,Traditional Chhau dance tradition inscribed on UNESCO's Representative List in 2010.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
Rajasthan,RJ,Music and Dance,Kalbelia folk songs and dances of Rajasthan,Traditional folk songs and dances associated with the Kalbelia community of Rajasthan.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
Kerala,KL,Dance and Theatre,Mudiyettu,Ritual theatre and dance drama tradition of Kerala inscribed by UNESCO in 2010.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
Uttarakhand,UK,Festival and Theatre,Ramman,Religious festival and ritual theatre tradition of the Garhwal Himalayas.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
Kerala,KL,Theatre,Kutiyattam,Traditional Sanskrit theatre tradition of Kerala.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
India,IN,Tradition,Tradition of Vedic chanting,Traditional practice of transmitting Vedic chanting.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
India,IN,Theatre,Ramlila,Traditional performance of the Ramayana.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
India,IN,Festival,Deepavali,Indian cultural festival inscribed on UNESCO's Representative List in 2025.,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/india-IN?info=elements-on-the-lists
